,parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock
438030,12218254.00,,,,1,2,,7,1,,,1010,1010,,,,,6037,,1,,,,7,33944672,-118255422,3301,,,,,,100,261,LAR1,60372407,12447,3101,268496,95983,0,,,,1,,,1961,,,56253,172689,2015,116436,3036.69,,,6.03724E+13
524465,11507515.00,,,,4,3,,4,4,,,1915,1915,,,,,6037,,4,,,,2,33888126,-118409161,2694,,,,,,010C,266,MNRM,60376203.06,19177,3101,,96117,0,,,,1,,,1987,,,604758,845676,2015,240918,9638.1,,,6.03762E+13
171624,12599242.00,,,,2,2,,4,2,,,1042,1042,,,,,6037,,2,,,,2,33820900,-118318000,12347,,,,,,010C,266,TORR-MD,60376509.02,54722,3101,274895,96159,0,,,,1,,,1983,,,170262,226254,2015,55992,2680.65,,,6.03765E+13
44238,17111559.00,,,,2,2,,,2,66,120,1310,1310,,,120,,6111,,2,2,0,,,34237199,-119172733,,,,,,,1129,266,,61110050.04,13150,2061,762927,97107,4,,,,,,,2010,2,,151065,302130,2015,151065,7010.68,,,6.11101E+13
256088,11294150.00,1,,,2,4,,7,2,,,1580,1580,,,,,6037,,2,,,,2,34690146,-118112217,7129,,,,,,100,261,LRRA7500*,60379006.07,5534,3101,,97318,0,,,,1,,,1969,,,115400,163000,2015,47600,2640.95,,,6.0379E+13
915185,12597001.00,,,,2,3,,7,2,,,1287,1287,,,,,6037,,2,,,,7,33837886,-118336776,5563,,,,,,100,261,TORR-LO,60376504.01,54722,3101,416338,96161,0,,,,1,,,1951,,,61483,307452,2015,245969,3673.48,,,6.03765E+13
17058,10955451.00,,,,1,2,,7,1,,,918,918,,,,,6037,,1,,,,7,34208564,-118335747,6014,,,,,,100,261,BUR1YY,60373101,396054,3101,,96436,0,,,,1,,,1950,,,75880,265528,2015,189648,3034.97,,,6.03731E+13
761325,11161100.00,,,,2,3,,7,2,,,1365,1365,,,,,6037,,2,,,,2,34446249,-118392471,7193,,,,,,100,261,SCUR2,60379108.08,54311,3101,37739,96401,0,,,,1,,,1969,,,39549,54006,2015,14457,5737.78,,,6.03791E+13
248733,13967275.00,,,,2,3,,,2,,,1642,1642,,,,,6059,1,2,2,480,,,33718334,-117986807,6517,,,,,,122,261,,60590992.42,25218,1286,,96965,7,,,,,,,1973,1,,46720,70154,2015,23434,1036.16,,,6.0591E+13
984675,11208222.00,,,,3,3,,7,3,,,1835,1835,,,,,6037,,3,,,,2,34582200,-118071776,7198,,,,,,100,261,LCRA7000*,60379106.01,40227,3101,,97328,0,,,,1,,,1957,,,77144,96428,2015,19284,1990.14,,,6.03791E+13
202730,12938036.00,,,,2,2,,7,2,,,1677,1677,,,,,6037,,2,,,,7,34073439,-117930544,7477,1,,,,1,101,261,WCR17500*,60374055,14542,3101,,96523,0,,,,1,,,1954,,,165076,341415,2015,176339,4050.09,,,6.03741E+13
587850,12525804.00,1,,,1,1,,4,1,,,873,873,,,,,6037,,1,,,,2,33758019,-118114287,978900,1,,,,1,010C,266,LBPD1,60375776.04,46298,3101,343505,96237,0,,,,1,,,1974,,,147338,301029,2015,153691,5142.01,,,6.03758E+13
94813,11974404.00,,,,1,3,,7,1,,,1648,1648,,,,,6037,,1,,,,7,34132563,-118190016,20021,,,,,,100,261,LAR1,60371832.22,12447,3101,114808,96022,0,,,,1,,,1910,,,90820,150728,2015,59908,1970.52,,,6.03718E+13
907383,17075829.00,,,320,2,3,,,2,66,1142,1142,1142,,,1142,,6111,1,2,2,454,,,34282629,-119283260,6000,,,,,,1110,261,,61110021.02,34543,2061,,97081,6,7,,,,133,,1925,1,,141539,156878,2015,15339,1687.38,,,6.111E+13
806067,11170627.00,1,,,2,3,,4,2,,,1920,1920,,,,,6037,,2,,,,2,34400700,-118565000,210075,1,,,,1,010C,266,SCUR2,60379203.3,54311,3101,48200,96378,0,,,,1,,,1989,,,326101,460374,2015,134273,6731.53,,,6.03792E+13
928817,12286096.00,,,,2,6,,7,2,,,2334,,,2334,,,6037,,2,,,,,33902913,-118211417,7024,,,,,,200,246,COPRH-CL*,60375416.05,24174,3101,,96091,0,,,,2,,,1926,,,183596,376372,2015,192776,6681.51,,,6.03754E+13
535783,17093339.00,,,,2,3,,,2,,1362,1362,1362,,,1362,,6111,1,2,2,462,,,34279627,-119188112,6045,,,,,,1111,261,,61110012.02,34543,2061,,97084,6,,,,,,,1963,1,,179031,298383,2015,119352,3224.2,,,6.111E+13
148949,17071736.00,,,,2.5,4,,,2.5,,2748,2748,2748,,,2748,,6111,1,2,2,550,,,34297052,-119214533,23087,,,,,,1110,261,,61110017,34543,2061,761223,97083,7,,1,,,318,,1987,1,,290677,589602,2015,298925,6221.62,,,6.111E+13
857093,12875080.00,,,,2,4,,7,2,,,1287,1287,,,,,6037,,2,,,,2,34071089,-117716201,7811,,,,,,100,261,POR17200*,60374027.06,20008,3101,,96507,0,,,,1,,,1960,,,146100,333700,2015,187600,4637.4,Y,13,6.0374E+13
955149,11330004.00,1,,,3,4,,4,3,,,2489,2489,,,,,6037,,3,,,,2,34512868,-118244115,211702,1,,,,1,101,261,LCA21*,60379108.13,,3101,,96403,0,,,,1,,,1984,,,356178,437392,2015,81214,5215.93,,,6.03791E+13
1024977,14165528.00,,,,6.5,5,,,6.5,,,6624,6624,,,,,6059,,6,4,1128,TRUE,,33899155,-117800244,39753,1,,,1,,1,261,,60590218.22,21412,1286,,97078,0,,1,,,,,2002,,,1134171,2885751,2015,1751580,35015.1,,,6.05902E+13
964733,14613066.00,,,,3,3,,,3,,,1805,1805,,,,,6059,,3,2,0,,,33623600,-117934000,,,,,,,34,266,,60590636.03,53571,1286,,96981,0,,,,,,,1987,,,165017,549900,2015,384883,6202.82,,,6.05906E+13
807293,11579337.00,,,,5,4,,1,5,,,4097,4097,,,,,6037,,5,,,,2,34045869,-118489237,10153,,,,,,100,261,SMR1*,60377012.01,26964,3101,,96149,0,,,,1,,,1925,,,562117,1727829,2015,1165712,20611.12,,,6.0377E+13
346330,11617273.00,1,,,4,3,,,4,,,2740,2740,,,,,6037,,4,,,,2,34059600,-118439000,28071,,,,,,010C,266,LAR5,60372656.02,12447,3101,118920,96005,0,,,,1,,,1979,,,375017,1982245,2015,1607228,24141.94,,,6.03727E+13
45022,17142813.00,,,,2,4,,,2,,1773,1773,1773,,,1773,,6111,1,2,2,467,,,34236660,-118986598,6500,,,,,,1111,261,,61110053.06,51239,2061,,97091,8,,,,,385,,1987,1,,255080,510160,2015,255080,5455.86,,,6.11101E+13
795256,12336837.00,,,,2,3,,7,2,,,1282,1282,,,,,6037,,2,,,,7,33921881,-118135890,5656,,,,,,100,261,DOR105,60375512.02,4406,3101,,96102,0,,,,1,,,1950,,,107346,231031,2015,123685,2957.57,,,6.03755E+13
920385,14716427.00,,,,2.5,2,,,2.5,,,1151,1151,,,,,6059,,2,2,0,,,33581121,-117734026,,,,,,,34,266,,60590626.38,37086,1286,,96974,0,,1,,,,,1997,,,121693,407916,2015,286223,4161.38,,,6.05906E+13
379510,12495397.00,,,,1,2,,7,1,,,1155,1155,,,,,6037,,1,,,,7,33814029,-118126546,5614,,,,,,100,261,LBR1N,60375741,46298,3101,273263,96242,0,,,,1,,,1950,,,103200,516000,2015,412800,6415.24,,,6.03757E+13
198186,11814771.00,,,,3,3,,4,3,,,2552,2552,,,,,6037,,3,,,,2,34065446,-118183292,5031,,,,,,100,261,LAR1,60372014.02,12447,3101,114914,96013,0,,,,1,,,1962,,,232000,591000,2015,359000,7276.74,,,6.0372E+13
774899,10834191.00,,,,1,1,,7,1,,,1128,1128,,,,,6037,,1,,,,,34204663,-118508387,21708,,,,,,100,261,LAR1,60371319,12447,3101,32368,96415,0,,,,1,,,1938,,,33006,295636,2015,262630,3879.97,,,6.03713E+13
588572,12708989.00,,,,2,4,,4,2,,,2326,2326,,,,,6037,,2,,,,2,33751152,-118404966,16813,1,,,,1,101,261,RPRS10000*,60376704.16,54053,3101,,96122,0,,,,1,,,1960,,,171434,857182,2015,685748,10063.15,,,6.03767E+13
775668,11029016.00,1,,,2,4,,7,2,,,1857,1857,,,,,6037,,2,,,,2,34231974,-118396555,8551,,,,,,100,261,LARS,60371212.22,12447,3101,41131,96375,0,,,,1,,,1965,,,161636,320413,2015,158777,7140.62,,,6.03712E+13
897414,11863644.00,,,,2,4,,7,2,,,1692,1692,,,,,6037,,2,,,,2,34053178,-118102909,5463,,,,,,100,261,LCR105,60374825.21,54212,3101,,96510,0,,,,1,,,1966,,,142797,458990,2015,316193,5614.92,,,6.03748E+13
128672,12986989.00,,,,5,7,,7,5,,,3635,,,3635,,,6037,,5,,,,,34079507,-117984194,9818,,,,,,200,246,BPR1*,60374048.01,10241,3101,,96465,0,,,,2,,,1948,,,389116,535357,2015,146241,6813.77,,,6.0374E+13
709349,13841025.00,,,,2,4,,,2,,,1230,1230,,,,,6059,,2,1,370,,,33738234,-117889119,6103,,,,,,122,261,,60590748.06,47568,1286,273198,97003,7,,,,,,,1955,1,,46015,413091,2015,367076,5026.92,,,6.05907E+13
44978,17131619.00,,,,2,3,,,2,,1223,1223,1223,,,1223,,6111,,2,2,420,,,34216001,-119050533,6403,,,,,,1111,261,,61110056,51239,2061,,97089,6,,,,,,,1960,1,,136255,227087,2015,90832,2433.78,,,6.11101E+13
207454,11525097.00,1,,,3,2,,1,3,,,1680,1680,,,,,6037,,3,,,,2,33974500,-118424000,108031,,,,,,010C,266,LAC2(PV),60372756.02,12447,3101,13327,96072,0,,,,1,,,2006,,,379021,713450,2015,334429,13232.77,,,6.03728E+13
634641,13068890.00,1,,,3,3,,4,3,,,2053,2053,,,,,6037,,3,,,,2,34029923,-117833101,9466,,,,,,100,261,WARPD16800,60374034.03,34636,3101,,96522,0,,,,1,,,1987,,,182254,303589,2015,121335,4005.16,,,6.0374E+13
854381,12233730.00,,,,1,3,,7,1,,,1092,1092,,,,,6037,,1,,,,7,33933432,-118255773,4343,,,,,,100,261,LAR2,60372409,12447,3101,268496,96040,0,,,,1,,,1948,,,17927,24426,2015,6499,613.32,,,6.03724E+13
783053,13001131.00,,,,1,2,,7,1,,,754,754,,,,,6037,,1,,,,7,34083612,-118042128,10278,,,,,,100,261,EMR1A*,60374323,51861,3101,,96478,0,,,,1,,,1938,,,54915,286919,2015,232004,4458.63,,,6.03743E+13
929649,12483145.00,1,,,1,2,,7,1,,,889,889,,,,,6037,,1,,,,2,33858044,-118125124,6744,,,,,,100,261,LKR1YY,60375708,12292,3101,,96212,0,,,,1,,,1950,,,54514,155906,2015,101392,2078.52,,,6.03757E+13
888287,13998197.00,5,,,2.5,3,,,2.5,,,1949,1949,,,,,6059,1,2,2,400,,6,33787203,-118017815,7440,,,,,,122,261,,60591100.03,24832,1286,,97052,7,,1,,,,,1959,1,,100386,572400,2015,472014,8132.08,,,6.05911E+13
668813,12964915.00,1,,,3,2,,4,3,,,1440,1440,,,,,6037,,3,,,,2,34146276,-118001148,,,,,,,010C,266,MOP/QP*,60374310.01,32923,3101,,96273,0,,,,1,,,2007,,,196500,485000,2015,288500,6417.22,,,6.03743E+13
1009576,14665771.00,,,,2,2,,,2,,,1402,1402,,,,,6059,,2,1,0,,24,33445811,-117645458,,,,,,,34,266,,60590422.06,13693,1286,,96982,6,,,,,,,1975,1,,111367,188664,2015,77297,2314.56,,,6.05904E+13
339152,14301634.00,13,,,2.5,4,,,2.5,,,1898,1898,,,,,6059,1,2,2,493,,,33707154,-117795201,5400,,,,,,122,261,,60590525.27,52650,1286,275916,96943,9,,1,,,,,1974,3,,81166,106716,2015,25550,1197.12,,,6.05905E+13
216555,12691385.00,,,,3,3,,4,3,,,1722,1722,,,,,6037,,3,,,,2,33786600,-118342000,199144,1,,,,1,010D,269,LCR3*,60376702.01,,3101,,96121,0,,,,1,,,1975,,,137079,230920,2015,93841,3188.06,,,6.03767E+13
79326,11833672.00,,,,1,2,,7,1,,,650,650,,,,,6037,,1,,,,7,34021214,-118171543,5483,,,,,,100,261,LCR4YY,60375315.02,17882,3101,,96003,0,,,,1,,,1922,,,75600,254000,2015,178400,3887.31,,,6.03753E+13
81624,12410421.00,1,,,3,4,,4,3,,,2175,2175,,,,,6037,,3,,,,2,33870663,-118039496,6518,,,,,,100,261,CERS6500,60375545.18,10774,3101,,96206,0,,,,1,,,1984,,,333658,707174,2015,373516,8074.09,,,6.03755E+13
53074,12705811.00,,,,3,4,,4,3,,,2237,2237,,,,,6037,,3,,,,2,33781841,-118368260,12045,,,,,,100,261,RPRS10000*,60376704.03,54053,3101,,96122,0,,,,1,,,1967,,,96462,154985,2015,58523,2070.51,,,6.03767E+13
1042137,10737351.00,1,,,6,4,,10,6,,,5922,5922,,,,,6037,,6,,,,2,34160646,-118662428,58652,1,,,,1,101,261,HHRAS1*,60378002.03,38980,3101,,96337,0,,,,1,,,2000,,,1239183,2347944,2015,1108761,27006.18,,,6.0378E+13
937482,17168261.00,,,,2,4,,,2,,1233,1497,1497,,,1233,,6111,1,2,1,360,,,34170667,-119179024,5979,,,,,,1111,261,,61110041.01,13150,2061,762949,97104,6,,,,,550,,1955,1,,137513,275026,2015,137513,3296.48,,,6.111E+13
308268,14013402.00,,,,3,4,,,3,,,2017,2017,,,,,6059,,3,2,440,,,33807608,-118011404,6000,1,,,,1,122,261,,60591101.13,44833,1286,,96185,7,,,,,,,1964,2,,131886,346199,2015,214313,4253.54,,,6.05911E+13
91564,11024608.00,,,,1,2,,7,1,,,712,712,,,,,6037,,1,,,,7,34253013,-118414309,6056,,,,,,100,261,LAR1,60371048.1,12447,3101,40215,96361,0,,,,1,,,1942,,,72957,88438,2015,15481,1181.13,,,6.0371E+13
64458,11816006.00,,,,1,1,,7,1,,,696,696,,,,,6037,,1,,,,7,34079675,-118171740,4791,1,,,,1,101,261,LAR1,60372015.04,12447,3101,114914,96013,0,,,,1,,,1948,,,31841,150259,2015,118418,1876.56,,,6.0372E+13
90759,10809189.00,1,,,4,4,,4,4,,,2453,2453,,,,,6037,,4,,,,2,34162417,-118610823,11721,1,,,,1,101,261,LAR1,60371374.01,12447,3101,48570,96387,0,,,,1,,,1952,,,448587,943481,2015,494894,11710.3,,,6.03714E+13
786787,11145721.00,1,,,3,4,,4,3,,,2517,2517,,,,,6037,,3,,,,2,34415392,-118492483,283477,,,,,,010D,269,SCUR2,60379200.3,54311,3101,37739,96374,0,,,,1,,,1999,,,230186,383641,2015,153455,5302.42,,,6.03792E+13
293240,13959543.00,13,,,2,4,,,2,,,1387,1387,,,,,6059,,2,2,400,,,33768947,-117909622,7200,,,,,,122,261,,60590891.07,24832,1286,,97050,7,,,,,,,1955,1,,55733,448791,2015,393058,5709.16,,,6.05909E+13
90685,10791445.00,1,,,2,3,,4,2,,,1430,1430,,,,,6037,,2,,,,2,34170818,-118611655,19991,,,,,,100,261,LARA,60371372.01,12447,3101,48570,96389,0,,,,1,,,1956,,,54240,100930,2015,46690,1358.42,,,6.03714E+13
531171,13926507.00,,,,2,3,,,2,,,2613,2613,,,,,6059,,2,2,434,,,33786554,-118078864,7700,,,,,,122,261,,60591100.07,46314,1286,,96218,5,,,,,,,2009,1,,315192,827816,2015,512624,9640.9,,,6.05911E+13
150193,10803043.00,1,,,3,2,,4,3,,,1258,1258,,,,,6037,,3,,,,2,34170200,-118525000,45147,1,,,,1,010C,266,LAR3,60371395.03,12447,3101,51906,96349,0,,,,1,,,1973,,,163357,311464,2015,148107,3790.11,,,6.03714E+13
32077,10998841.00,,,,1,3,,7,1,,,1020,1020,,,,,6037,,1,,,,7,34257745,-118316114,6165,,,,,,100,261,LAR1,60371034.01,12447,3101,27328,96282,0,,,,1,,,1950,,,32071,51425,2015,19354,663.93,,,6.0371E+13
523397,11143473.00,1,,,3,3,,4,3,,,1276,1276,,,,,6037,,3,,,,2,34406612,-118485933,426781,,,,,,010D,269,SCUR2,60379200.31,54311,3101,26134,96374,0,,,,1,,,1993,,,84000,387000,2015,303000,5764.44,,,6.03792E+13
647614,12594960.00,,,,2,2,,4,2,,,968,968,,,,,6037,,2,,,,2,33843100,-118291000,247525,1,,,,1,010C,266,LCR3*,60375435.02,118878,3101,,96160,0,,,,1,,,1982,,,83000,254000,2015,171000,3805.12,,,6.03754E+13
68068,12720628.00,,,,1,2,,7,1,,,749,749,,,,,6037,,1,,,,7,33928362,-118072196,4977,,,,,,100,261,NOR1YY,60375501,13716,3101,,96193,0,,,,1,,,1949,,,35411,84956,2015,49545,4716.37,,,6.03755E+13
589122,12838973.00,,,,2,4,,7,2,,,1674,,,1674,,,6037,,2,,,,,34029810,-117946093,21709,,,,,,200,246,LPR16000*,60374076.02,39306,3101,,96488,0,,,,2,,,1955,,,33423,57625,2015,24202,1292.48,,,6.03741E+13
314147,10909431.00,1,,,3,3,,7,3,,,1699,1699,,,,,6037,,3,,,,2,34144800,-118376644,8078,1,,,,1,101,261,LAR1,60371436.03,12447,3101,47880,96447,0,,,,1,,,1947,,,57502,108067,2015,50565,1582.29,,,6.03714E+13
799979,14198171.00,13,,,2,2,,,2,,,1529,1529,,,,,6059,,2,2,481,,,33879588,-117760371,5000,,,,,,122,261,,60590218.3,21412,1286,,97079,6,,,,,,,1980,1,,121794,527674,2015,405880,6366.56,,,6.05902E+13
802205,11312957.00,1,,,3,5,,4,3,,,2872,2872,,,,,6037,,3,,,,2,34672342,-118099773,10546,,,,,,100,261,LRRI0000,60379005.04,5534,3101,,97318,0,,,,1,,,2005,,,168900,246000,2015,77100,4442.36,,,6.0379E+13
842420,12947122.00,,,,2,3,,7,2,,,1284,1284,,,,,6037,,2,,,,2,34067009,-117931308,7274,,,,,,100,261,WCR1*,60374067.02,14542,3101,,96523,0,,,,1,,,1960,,,110201,236950,2015,126749,2891.56,Y,14,6.03741E+13
364421,12453525.00,,,,2,3,,7,2,,,1102,1102,,,,,6037,,2,,,,2,33860712,-118185433,4567,,,,,,100,261,LBR1N,60375703.03,46298,3101,276476,96239,0,,,,1,,,1984,,,126875,240372,2015,113497,2981.13,,,6.03757E+13
39869,13097329.00,,,,2,3,,7,2,,,1266,1266,,,,,6037,,2,,,,2,34000333,-117847613,7954,,,,,,100,261,LCRA08,60374033.03,24384,3101,,96522,0,,,,1,,,1964,,,42607,62981,2015,20374,1080.65,,,6.0374E+13
708824,12978707.00,,,,2,4,,7,2,,,1641,1641,,,,,6037,,2,,,,7,34089430,-117971237,7259,1,,,,1,101,261,BPR1*,60374049.03,10241,3101,,96465,0,,,,1,,,1948,,,132324,181783,2015,49459,2501.97,,,6.0374E+13
1003827,12407145.00,1,,,1,2,,7,1,,,904,904,,,,,6037,,1,,,,2,33877784,-118064242,8305,,,,,,010C,266,CERM,60375545.14,10774,3101,,96206,0,,,,1,,,1972,,,110885,182892,2015,72007,2211.23,,,6.03755E+13
350211,12628504.00,1,,,4,6,,7,4,,,2400,,,2400,,,6037,,4,,,,,33781924,-118271819,5221,,,,,,200,246,LARD2,60372948.1,12447,3101,48516,96228,0,,,,2,,,2002,,,172696,234151,2015,61455,3088.54,,,6.03729E+13
624038,11302219.00,1,,,3,4,,4,3,,,2616,2616,,,,,6037,,3,,,,2,34686988,-118075677,7689,,,,,,100,261,LRA22*,60379005.08,5534,3101,,97318,0,,,,1,,,2006,,,205721,257149,2015,51428,4059.6,,,6.0379E+13
469812,12780896.00,,,,1,2,,7,1,,,888,888,,,,,6037,,1,,,,7,33996748,-118063757,5156,,,,,,100,261,LCR1YY,60375012,,3101,,96174,0,,,,1,,,1950,,,94854,208681,2015,113827,2875.44,,,6.0375E+13
961790,13025578.00,1,,,2,3,,4,2,,,1570,1570,,,,,6037,,2,,,,2,34137595,-117880788,3530,,,,,,010D,269,GDR_GA_PD,60374008,11626,3101,,96486,0,,,,1,,,1977,,,170800,425000,2015,254200,5402.76,,,6.0374E+13
932852,13974644.00,,,,2,3,,,2,,,1231,1231,,,,,6059,,2,2,430,,,33735213,-117910337,6480,1,,,,1,122,261,,60590748.03,47568,1286,268604,97004,5,,,,,,,1962,1,,80839,233338,2015,152499,2910.8,,,6.05907E+13
755841,14371140.00,,,,2,3,,,2,,,1476,1476,,,,,6059,,2,2,460,,,33634031,-117688908,7560,,,,,,122,261,,60590524.16,32380,1286,,96962,7,,,,,,,1969,1,,81788,543139,2015,461351,5759.46,,,6.05905E+13
102436,14714001.00,,,,1,1,,,1,,,654,654,,,,,6059,,1,,,,,33747500,-117863000,,,,,,,34,266,,60590750.02,47568,1286,268244,97001,0,,,,,,,1989,,,34780,143000,2015,108220,1909.56,,,6.05908E+13
110711,12218506.00,,,,1,3,,7,1,,,784,784,,,,,6037,,1,,,,7,33951386,-118256218,5031,,,,,,100,261,LAR1,60372407,12447,3101,268496,95983,0,,,,1,,,1943,,,78382,179305,2015,100923,2502.14,,,6.03724E+13
963041,14063744.00,,,,2.5,4,,,2.5,,,2347,2347,,,,,6059,3,2,2,690,,,33687760,-117977672,6500,,,,,,122,261,,60590992.31,8384,1286,,97008,8,,1,,,,,1974,2,,115101,168463,2015,53362,2084.6,,,6.0591E+13
571084,12057245.00,1,,,4,6,,4,4,,,3104,3104,,,,,6037,,4,,,,2,34174807,-118269324,5855,,,,,,100,261,GLR1*,60373013,45457,3101,273059,96321,0,,,,1,,,1926,,,367062,511954,2015,144892,5732.45,,,6.0373E+13
380121,12657791.00,,,,2,2,,4,2,,,2216,2216,,,,,6037,,2,,,,2,34024381,-118296671,6250,,,,,,100,261,LAR1,60372226,12447,3101,54300,96221,0,,,,1,,,1958,,,122738,530335,2015,407597,6510.01,,,6.0373E+13
111562,12430433.00,,,,1,3,,7,1,,,1365,1365,,,,,6037,,1,,,,7,33836146,-118105667,5563,1,,,,1,101,261,LKR1*,60375710,12292,3101,,96213,0,,,,1,,,1952,,,134000,510000,2015,376000,6243.08,,,6.03757E+13
565297,13128385.00,,,,0,0,,,,,,1200,1200,,,,,6037,,,,,,,33821764,-118296905,,,,,,,070P,263,,60375436.02,118878,3101,,96160,0,,,,,,,1992,,,,,2015,,241.87,,,
968804,10936950.00,1,,,3,4,,4,3,,,2868,2868,,,,,6037,,3,,,,2,34183260,-118340982,6247,1,,,,1,100,261,BUR1*,60373110,396054,3101,,96437,0,,,,1,,,1941,,,323594,431670,2015,108076,4958.6,,,6.03731E+13
603141,12665364.00,1,,,3,5,,7,3,,,2317,,,2317,,,6037,,3,,,,,33834621,-118387357,6401,,,,,,200,246,RBR-3A,60376213.24,33612,3101,,96123,0,,,,2,,,1956,,,234201,835349,2015,601148,10562.34,,,6.03762E+13
95977,12264165.00,,,,2,4,,7,2,,,1086,1086,,,,,6037,,2,,,,7,33883382,-118245302,5298,,,,,,100,261,CORL*,60375431,24174,3101,,96090,0,,,,1,,,1954,,,18749,33206,2015,14457,912.09,Y,13,6.03754E+13
990466,12793718.00,,,,2,3,,7,2,,,1778,1778,,,,,6037,,2,,,,7,33943741,-118031879,6207,1,,,,1,101,261,LCR15000*,60375032.02,118225,3101,,96173,0,,,,1,,,1950,,,54646,87064,2015,32418,1438.59,,,6.0375E+13
343869,10880768.00,1,,,1,1,,7,1,,,805,805,,,,,6037,,1,,,,2,34196000,-118391000,7857,,,,,,010C,266,LARD1.5,60371232.03,12447,3101,46795,96450,0,,,,1,,,1966,,,57451,87614,2015,30163,1062.5,,,6.03712E+13
71365,14248552.00,,,,0,0,,,,,,4213,,,,,4213,6059,,,0,0,,,33769156,-117832851,7799,,,,,,96,248,,60590757.01,47568,1286,,97005,0,,,,4,,,1969,2,,150235,836081,2015,685846,9716.76,,,6.05908E+13
927047,11836444.00,,,,2,3,,7,2,,,1393,1393,,,,,6037,,2,,,,7,34031786,-118147682,6030,,,,,,100,261,LCR4YY,60375303.02,17882,3101,,96003,0,,,,1,,,1941,,,120090,207656,2015,87566,3018.5,,,6.03753E+13
238050,14003363.00,,,,0,0,,,,,,,,,,,,6059,,,,,,,33791347,-117990212,20001,,,,,,1,261,,60590879.02,42967,1286,,96203,0,,,,,,,,,,,329498,2015,329498,7282,,,
735136,12182003.00,,,,1,3,,7,1,,,1020,1020,,,,,6037,,1,,,,7,33983033,-118294772,3783,,,,,,100,261,LAR2,60372371.01,12447,3101,118208,96025,0,,,,1,,,1924,,,48205,164955,2015,116750,2070.31,,,6.03724E+13
128001,12825678.00,,,,1,3,,7,1,,,1146,1146,,,,,6037,,1,,,,2,33931424,-118003030,6099,,,,,,100,261,LCRA06,60375035.02,118225,3101,,96172,0,,,,1,,,1954,,,85953,204780,2015,118827,2659.24,Y,15,6.0375E+13
1007104,13938555.00,,,,2,3,,,2,,,2041,2041,,,,,6059,,2,2,471,,,33786161,-117822741,8400,1,,,,1,122,261,,60590758.07,33252,1286,,97067,7,,,,,,,1963,1,,182840,270162,2015,87322,3108.04,,,6.05908E+13
274988,12416912.00,,,,3,3,,7,3,,,1145,1145,,,,,6037,,3,,,,2,33871850,-118106641,306791,,,,,,010C,266,CERM,60375545.21,10774,3101,,96206,0,,,,1,,,1973,,,103953,160794,2015,56841,2020.47,,,6.03755E+13
805551,11036703.00,1,,,3,3,,4,3,,,1450,1450,,,,,6037,,3,,,,2,34240100,-118445000,146158,1,,,,1,012C,266,LARD2,60371193.42,12447,3101,13176,96411,0,,,,1,,,1980,,,175384,257492,2015,82108,3178,,,6.03712E+13
519502,14353631.00,,,,3.5,4,,,3.5,,,3426,3426,,,,,6059,,3,2,458,,,33703608,-117758504,6490,,,,,,1,261,,60590524.17,52650,1286,276486,96954,0,,1,,,,,2004,,,462535,1199227,2015,736692,19903.02,,,6.05905E+13
294055,14154763.00,,,,2,3,,,2,,,1807,1807,,,,,6059,1,2,2,528,,,33937752,-117912191,15210,1,,,,1,122,261,,60590015.01,17150,1286,,97035,6,,,,,,,1963,1,,136994,657000,2015,520006,8891.6,,,6.059E+13
103623,10847221.00,1,,,4,2,,4,4,,,2180,2180,,,,,6037,,4,,,,2,34157800,-118446000,6036,,,,,,010C,266,LARD1.5,60371287.02,12447,3101,27080,96424,0,,,,1,,,2006,,,234923,345783,2015,110860,4343.77,,,6.03713E+13
66894,12443180.00,,,,1,2,,7,1,,,888,888,,,,,6037,,1,,,,7,33882653,-118137822,9802,,,,,,100,261,BFR1*,60375542.01,44116,3101,,96208,0,,,,1,,,1929,,,22108,48806,2015,26698,865.76,,,6.03755E+13
622105,14394692.00,,,,6,5,,,6,,,4340,4340,,,,,6059,,6,3,796,TRUE,,33567389,-117676989,89100,1,,,1,,122,261,,60590423.33,25458,1286,,96971,0,,,,,,,1989,,,568737,1881173,2015,1312436,19697.52,,,6.05904E+13
987378,12037031.00,,,,1,1,,7,1,,,646,646,,,,,6037,,1,,,,,34105200,-118286000,6731,,,,,,010H,266,LAR2,60371891.01,12447,3101,274359,96008,0,,,,1,,,1958,,,75384,341114,2015,265730,4117.63,,,6.03719E+13
